song_id,artist,title,release_year,migracion_hits,migracion_score,narco_hits,narco_score,politica_mx_hits,politica_mx_score,politica_us_hits,politica_us_score,dominant_topic
1470839,Los Tigres del Norte,La neta de las netas,,0,0.0,0,0.0,0,0.0,0,0.0,none
1421594,Los Tigres del Norte,La novia de San Benito,,0,0.0,0,0.0,0,0.0,0,0.0,none
1246029,Los Tigres del Norte,La oferta,,0,0.0,0,0.0,0,0.0,0,0.0,none
1636961,Los Tigres del Norte,La paloma,,0,0.0,2,12.1212,3,18.1818,0,0.0,politica_mx
1514163,Los Tigres del Norte,La puerta abierta,,0,0.0,0,0.0,0,0.0,0,0.0,none
2008264,Los Tigres del Norte,La puerta del rancho,,2,11.0497,1,5.5249,0,0.0,0,0.0,migracion
1565943,Los Tigres del Norte,La Puerta Negra,,0,0.0,0,0.0,0,0.0,0,0.0,none
1071243,Los Tigres del Norte,La quinceañera,,0,0.0,0,0.0,0,0.0,0,0.0,none
1467120,Los Tigres del Norte,La ranita,,4,27.7778,0,0.0,0,0.0,0,0.0,migracion
1011612,Los Tigres del Norte,La resortera,,5,26.455,2,10.582,0,0.0,0,0.0,migracion
1435225,Los Tigres del Norte,Las dos apuestas,,0,0.0,0,0.0,0,0.0,0,0.0,none
1284791,Los Tigres del Norte,La segunda carta,,0,0.0,0,0.0,0,0.0,0,0.0,none
1609913,Los Tigres del Norte,Las flores de mi país,,0,0.0,3,11.0294,1,3.6765,0,0.0,narco
1386448,Los Tigres del Norte,Las mismas costumbres,,0,0.0,0,0.0,0,0.0,0,0.0,none
1086818,Los Tigres del Norte,Las mujeres de Juárez,,1,4.5455,2,9.0909,0,0.0,0,0.0,narco
1624710,Los Tigres del Norte,La temporada es buena,,0,0.0,0,0.0,0,0.0,0,0.0,none
1749665,Los Tigres del Norte,La tumba del mojado,,12,88.8889,0,0.0,0,0.0,0,0.0,migracion
1583660,Los Tigres del Norte,La tumba falsa,,0,0.0,0,0.0,0,0.0,0,0.0,none
1543715,Los Tigres del Norte,La vida es una,,0,0.0,0,0.0,0,0.0,0,0.0,none
