Topic,Count,Name,Representation,Representative_Docs
-1,219,-1_la_de_que_el,"['la', 'de', 'que', 'el', 'me', 'no', 'en', 'se', 'un', 'mi']","['Siempre quise yo estudiar\nY ser alguien en la vida\nSer aquel hijo ejemplar\nOrgullo de la familia\nUn honor para mi pueblo\nY pa mi patria querida\n\nPero de nada ha servido\nHaberme yo titulado\nComo todos mis colegas\nAndamos por todos lados\nEn busca de un buen trabajo\nY sin poder encontrarlo\n\nEl titulo no es basante\nCuando me acerco a la mesa\nMe siento tan desgraciado\nQue me lleno de tristeza\nDe tener una carrera\nY vivir en la pobreza\n\n*no me asusta la pobreza\nPor que pobre siempre he sido\nHe luchado por superarme para un mejor futuro\nPor eso yo fui a la escuela\nPara ejercer mi carrera pero\nEl resultado es que trabajo en lo que sea\nPor eso me hierve la sangre\nY este título que tengo\nSolo me ha servido para dos cosas\nPara limpiarme el sudor\nY para secarme el llanto*\n\nMis padres siempre soñaron\nQue un día me recibiera\nTanto se sacrificaron\nPara pagar mi carrera\nAhora no se como hacerle\nPara saldar esta deuda\n\nYo se que no es un remedio\nPero siento un gran alivio\nA veces me hecho mis tragos\nPara calmar mi martirio\nSolo dormido y borracho\nSe me olvida lo dolido\n\nMi pueblo es un gran tesoro\nY lo quiero con el alma\nPero la crisis y el hambre\nHacen que pierda la calma\nNo es justo que el titulado\nAnde quebrado y sin chamba', 'Esta es la historia de un muchacho que un día, al terminar uno de nuestros conciertos se nos acercó y nos dijo\n""Yo soy seguidor de ustedes, su vida es muy diferente a la mía\nUstedes cantan sus canciones y yo trabajo cargando ladrillos\nPero cuando los escucho cantar, pienso que somos lo mismo\nPerdonen, ustedes, el atrevimiento\nPero ustedes, que vienen y van, quizás me puedan ayudar""\nY secándose una lágrima en el ojo, y echando mano a su bolsillo\nEsto fue lo que nos dijo\n\nLleven esta carta a mi mamá\nQuizás pronto usted cantará en mi pueblo\nYo no tengo conocidos ni parientes\nSé que usted comprenderá mi osado atrevimiento\nMi pueblito es colonial y pintoresco\nSus calles son de tierra, no hay cemento\nEn la plaza hay una imagen de San Judas\nA la cual me encomendé cuando me vine a esta aventura\nPor la calle principal está su casa, es distinta de todas las demás\nAhora tiene techo de concreto, está pintada de azul, casi como el mismo cielo\n\nEfectivamente, estaba escrito en el destino que nuestra música siguiera ese camino y llegara hasta ese pueblo\nFue muy fácil ubicar aquella casa que era la más triste y pobre de todas\nMe abrió la puerta una viejecita que apenas en pie se sostenía\nY con cierta incertidumbre, y un vejo en su mirada, me dijo: ""Dígame, señor""\n\nSeñora, buenas tardes, mis respetos\nSu hijo me dio algo para usted\nEs una carta de la cual aquí le entrego\nHe cumplido mi promesa y mi camino seguiré\nMe di la vuelta y la señora interrumpió\n""Usted, disculpe la molestia"" y me miró\n""No sé leer, porque nunca tuve escuela\nSé que usted comprenderá, léamela, por favor""\n\n""Claro que sí, señora, con mucho gusto\nOctubre 13 del 2012\nLos Ángeles, California, 8:59 de la noche""\nEsto es lo que decía aquella carta\n\nMadre querida, no sé por dónde empezar\nComenzaré diciendo que te extraño\nExtraño las tortillas que me hacías\nExtraño tus regaños, extraño tu comida\nAcá mi vida es, como siempre, una rutina\nTengo dos chambas y a veces no me la acabo\nPero no importa que me mate trabajando\nPa\' que no les falte nada, pa\' que no anden batallando\nPrecisamente, hoy se cumplen 13 años\nDe aquella tarde que me vine pa\'l gabacho\nSus bendiciones sí surtieron el efecto\nDale gracias a mi viejo, sí sirvieron sus consejos\nMadre querida, mi viejita consentida\nEspero estar el día de la despedida\nTe lo prometo, pronto voy a regresar\nPara realizar mi sueño de volvernos a abrazar', 'Como recuerdo aquel niño..\nQue triste vino hacia mi...con carita\nDe molesto y reclamandome asi:\n\n(Usted que canta corridos por que\nNo canta una historia de mi yo soy\nEl niño indeciable que desprecian\nPor aqui yo soy el niño de la calle que\nLucha para vivir)\n\n(Y vine hasta la frontera pro sin querer\nVenir arrastrado por mis padres\nDisque por un porvenir por mi\nNo hubiera venido yo era feliz\nDonde estaba)\n\n(Tenia 3 abuelitos.. mis primos con quien jugaba\nUn perro y un guajolote y un\nArroyo en que nadaba mi\nHermanita no habia muerto mi\n""apa"" y mi ""ama"" se adoraban)\n\nUn ida por la mañana despues de\nHaber ido a misa mi ""apa"" le dio\nA la familia aquella triste nticia\nYa no aguanto la pobreza\nNos vamos pa\' el otro lado\n\nQuiero juntar un dinero aunque\nSea de mojado es por uestedes\nHijos me dijo casi sonriendo\nEs muy pesada la vida como\nLa estamos vivendo y yo que los\nQuiero tanto he de encontrar la ocacion\nPara que vayan creciendo con muy\nBuena educacion\n\nUna semana despues en el viaje se nos murio\nMi hermanita disque de una pulmonia\nLe faltaron medicinas pues dinero\nYa no habia mi ""ama"" tambien\nDe tristeza por poquito y se nos\nMoria\n\nLlegamos a la forntera no mas\nA puro penado mi mamacita\nQuerida aqui se vino a enfermar y mi\n""apa"" nos dijo jurando que iba a\nLucahr sin parar para los estados\nUnidos muy pronto hacernos cruzar..\n\nMis abuelos en mi casa se quedaron\nMuy..muy lejos pero aqui traigo en el alma\nLas lagrimas de mis viejos.. aqui cuando jugar...\nLa escuela pues ya luego..\n\nAhora empeze nuevo oficio.. ahora soy\nUn tragafuegos.. ese tabaco apestoso y los\nPolvos y las tachas por aqui es lo principal\nPa\' gabachos y gabachas que si mi jefe me\nViera me da risa de tristesa como me voy\nEducando enmedio de la vajeza...\n\nMi padre cruzo esa varda.. hizo un oyo por abajo\nTriste muy serio me dijo ahi le encargo\nA su mamita yo voy a buscar\nTrabajo ya complete los 10 años y hace\nTres se fue al carajo y yo me quiero hacer\nCargo desde este dia se lo juro pero no\nPuedo solito..\n\nDe veras se me hace duro ya me muero\nPor creecer de por si yo soy\nChaparo del dinero.. donde este y si se deja\nLo agarro.. ahi esta la varda maldita de mi ""apa""\nNada supimos y nunca va a darse cuenta\nQue tanto por el sufrimos lo extrañamos todo el tiempo..\n\nTienen que haberlo matado de no haber sido\nPor eso no me hubiera abandonado....']"
0,266,0_que_te_me_no,"['que', 'te', 'me', 'no', 'de', 'mi', 'tu', 'amor', 'la', 'por']","['Que no debias seguir conmigo piensan todos\nQue soy un ser despreciable y no te quiero\nQue no debias confia en mi de ningun modo\nPor que no tomo nunca las cosas en serio\n\nQue soy infiel y mentiroso como pocos\nQue entre nosotros hay una gran diferencia\nPor eso creo que es este amor cosa de locos\nY nadie entiende quien tuvo tal ocurrencia\n\nFui solo yo, el que de frente desafio las tempestades\nQuien se atrevio a hablarte de amor siendo un don nadie\nEl que te quiso con razón o sin razón\nFui solo yo el peor de todos, el mas loco, el imperfecto\nUn pobre tonto soñador con mil defectos\nPero que supo conquistar tu corazón\n\nQue soy hipócrita te han dicho muchas veces\nQue hay un rufian bajo mi gesto de nobleza\nQue junto a mi no habrá futuro y que te alejes\nPor que soy falso como todas mis promesas\n\nQue reconozcas que en mi no hay ni un atractivo\nPor eso pronto se te acabará el encanto\nY es que si soy solo un iluso y atrevido\nNadie se explica que te hizo quererme tanto\n\nFui solo yo, quien se preocupa de todo lo que te pasa\nEl que te vuelve loca cada que te abraza\nEl responsable de que creas en el amor\nFui solo yo quien contra todos consiguio que lo adoraras\nEl que lucho hasta que logró que tu cambiaras\nSin importarle que se diga que es lo peor', 'Desde aquí te dedico estos versos\nPa que sepas lo que yo te quiero\nLos problemas que tengo son grandes\nPero solo tu eres mi consuelo\n\nLo que siento por ti es muy bonito\nY con nada puedo comparar\nSi aun sigo en el mudno viviendo\nEs por que tu la vida me das\n\nYo te quiero y siempre te querre\nY ami lado nada te ara falta\nJunto a ti todo es felicidad\nSe me borran la penas amargas\n\nYo no se que seria de mi vida\nSi algun dia te llegar a perder\nMejor que me tragara la tierra\nAl fin que sin ti peor iva a ser\n\nDuere tiempo buscando un cariño\nY por fin a mi gusto lo aye\nNo te falta ni te sobra nada\nTal parece que te mande hacer\n\nMi consuelo tu eres para mi\nMi consuelo siempre tu seras\nA dios que mas le puedo pedir\nSi ya me dio la felicidad', 'El niño que llevas de la mano es mio\nAhora que lo miro vergüenza me da\nPor que es igualito a mi cuando niño\nQue me duele el alma de tanto pensar\n\nRecuerdo aquel dia en que me dijiste\nCon tu cara llena de felicidad\nDame un fuerte abrazo y besame mucho\nPor que en unos meses vas a ser papá\n\nYo no te crei pues celoso yo estaba\nTe dije mil cosas que no he de olvidar\nAhora me arrepiento por que es a otro hombre\nAl que hoy mi hijo le dice papá\n\nSe que soy culpable pero el es mi sangre\nY quisiera verlo por ultima vez\nNo voy a decirle que yo soy su padre\nSera mi castigo no volverlo a ver\n\nAhora que te encuentro perdón yo te pido\nDe mi triste vida llego su final\nSolo se de decirte que no los olvido\nPero ya es muy tarde para remediar\n\nYo no te crei pues celoso yo estaba\nTe dije mil cosas que no he de olvidar\nAhora me arrepiento por que es a otro hombre\nAl que hoy mi hijo le dice papá']"
1,147,1_el_la_de_los,"['el', 'la', 'de', 'los', 'se', 'su', 'en', 'le', 'que', 'lo']","['Era un hombre devoras valiente\nSe burlaba de la policía\nA su mando traía mucha gente\nSu negocio se lo requería\nPoderoso y también muy alegre\nComo el diablo se le conocía\n\nDonde quiera sonaba su nombre\nY tronaba su cuerno de chivo\nCada ráfaga llevaba un nombre\nNo fallaba era muy efectivo\nLo apreciaban mucho sus patrones\nNi se diga su gente y amigos\n\nEl dinero el poder y la fama\nSon tres cosas muy afrodisíacas\nSin buscar las mujeres te sobran\nSolterías viudas o casadas\nA gozar de la vida que es corta\nDecía el diablo rodeado de damas\nPara mi la pobreza es historia\nLa hice añicos a punta de balas\n\nSomos gente de el cartel de el diablo\nLes decían a los federales\nDe inmediato les abrían el paso\nEra mas que se activa la clave\nSaben bien que si no hacían caso\nSus cabezas volarían al aire\n\nEn la mafia también hay escuela\nFue maestro y ejemplo de varios\nLe atoraba de frente a cualquiera\nFueran leyes o fueran contrarios\nLos dejaba como coladeras\nEnojado era el mismito diablo\n\nLo valiente se hereda no hay duda\nLo que somos lo aprenden los hijos\nLas ofensas mas grandes perduran\nNo se olvidan ni por un ratito\nLa venganza fue de gran altura\nMis respetos para el mucha-chito\nCon un cuerno dejo a su familia\nNo dejo a nadie vivo el diablito', 'Muerto el perro no acaba la rabia, en la mafia se agravan las cosas\nLa Coyote cumplió su venganza, pero el destino juega en su contra\nY aunque las leyes la traen bien huida, sigue con su misión la señora\nBurla el muro hoy por Tamaulipas, Daniel Phillips al cártel apoya\nTienen más enemigos que nunca, pero valor es lo que les sobra\n\nLa frontera sigue dando frutos para el gran cártel de los Acero\nCuentan con el control absoluto de la Plaza Del Nuevo Laredo\nInterceptan la droga del Indio, no lo dejan que levante el vuelo\nSe ha quedado en la ruina de plano, sin equipo, poder ni dinero\nPero vengarse les ha jurado y si el Indio amenaza, es en serio\nLos problemas nunca se terminan, mucho menos entre traficantes\nLos Acero pelean con la migra y también contra el Capo ""El Amable""\nColombiano repleto de ira que hasta México vino a vengarse\nMillonario y de estampa muy fina que su nombre real nadie lo sabe\nSe convierte en la piedra de trampa, va logrando negocios del cártel\nEl Amable juega con dos bandos, trae su plan de vengarse o vengarse\nHace alianzas con El Indio Amaro y La Tuti quien formó su cártel\nCon la gran ayuda de Marcelo, hoy comando el cártel de las Barbies\nMuñequitas cuerpo de modelos, entrenadas muy bien para el jale\nLe quitaron los clientes al Indio, lo dejaron vilmente en la calle\nEl poder y el dinero se ostentan, la política el buen parapeto\nLos mafiosos reafirman sus fuerzas, se postulan y compran sus puestos\nCanta ""El Gallo"" en la presidencia de la ciudad de Nuevo Laredo\nSu asesor triple R no falla, en campañas es el mero mero\nSigue firme y creciendo la empresa de Vicenta, La Señora Acero\n\nEl cártel ha aumentado sus rutas hoy con el jefe de los traileros\nEs el Pancho Panteón y su clica, hombres sabelotodo y sin miedo\nIlegales y de todo cruzan para nada le temen al güero\nY aunque leyes y contras los buscan, siguen arremangando terreno\nSiempre al mando y siguiendo su lucha La Coyote, La Señora Acero\nEl Amable quedó enamorado desde que conoció a la Vicenta\nDesde entonces, vivió obsesionado a tal grado que hasta la secuestra\nLa misión fue para el Indio Amaro, pero se declararon la guerra\nSalvador, Daniel Phillips y El Gallo se enfurecen que hasta el diablo tiembla\nHubo varios heridos y muertos hasta que rescataron a Chenta\nUna vez más la sangre y venganza día y noche persiguen a Chenta\nLa Coyote no baja la guardia, la protegen las autodefensas\nTiene gente que apoyan su causa, donde quiera su nombre resuena\nEs una mujer muy respetada, en la mafia ya es una pionera\nLa Señora de Acero mentada, La Justiciera de La Frontera', 'Era un hombre devoras valiente\nSe burlaba de la policía\nA su mando traía mucha gente\nSu negocio se lo requería\nPoderoso y también muy alegre\nComo el diablo se le conocía\n\nDonde quiera sonaba su nombre\nY tronaba su cuerno de chivo\nCada ráfaga llevaba un nombre\nNo fallaba era muy efectivo\nLo apreciaban mucho sus patrones\nNi se diga su gente y amigos\n\nEl dinero el poder y la fama\nSon tres cosas muy afrodisíacas\nSin buscar las mujeres te sobran\nSolterías viudas o casadas\nA gozar de la vida que es corta\nDecía el diablo rodeado de damas\nPara mi la pobreza es historia\nLa hice añicos a punta de balas\n\nSomos gente de el cartel de el diablo\nLes decían a los federales\nDe inmediato les abrían el paso\nEra mas que se activa la clave\nSaben bien que si no hacían caso\nSus cabezas volarían al aire\n\nEn la mafia también hay escuela\nFue maestro y ejemplo de varios\nLe atoraba de frente a cualquiera\nFueran leyes o fueran contrarios\nLos dejaba como coladeras\nEnojado era el mismito diablo\n\nLo valiente se hereda no hay duda\nLo que somos lo aprenden los hijos\nLas ofensas mas grandes perduran\nNo se olvidan ni por un ratito\nLa venganza fue de gran altura\nMis respetos para el muchachito\nCon un cuerno dejo a su familia\nNo dejo a nadie vivo el diablito']"
2,115,2_que_me_no_la,"['que', 'me', 'no', 'la', 'mi', 'de', 'se', 'yo', 'el', 'te']","['Al pie de una albahacar china\nMe puse a considerar\nQue gracia me dio mi Dios\nQue no supiera rogar\n\nNo ruego con mi cariño\nNi pago por su amistad\nA mi no me da cuidado\nSi al cabo en el mundo hay mas\n\nSoy como el agua del rio\nTodo se me va en correr\nCon ninguna vivo engrido\nNada se me hace perder\n\nSi tienes nuevos amores\nYo tengo nuevo querer\nAsi como me pagaste\nTe voy a corresponder\n\nPensabas que no iba a hallar\nAmor como el que perdi\nPara mi gusto lo halle\nQue ni me acuerdo de ti\n\nSi te he visto no se en donde\nNo se si te conoci\nSi te he visto no se en donde\nNo me habre fijado en ti', 'Donde me la pinten brinco, y en cualquier mecate tiendo\nY no se pongan al brinco, tampoco la hagan de pleito\nMe atengo a mis pantalones, no me atengo a los ajenos\n\nA la buena soy amigo, me gusta jalar parejo\nYa lo dije soy amigo, mas de nadie soy conejo\nMe cuentearan como a todos, pero cuando van, yo vengo\n\nEl que se junta conmigo, ni en su casa lo regañan\nA mi no me espanta el sueño, mucho menos la calaca\nY al que no le guste el guste, que monte en pelo y se vaya\n\nAmigos son muy poquitos, por eso muy pocos tengo\nY no es porque sea orgulloso, se bien a lo que me atengo\nMuchos te buscan la cara, solo cuando traes dinero\n\nNo acostumbro a dar mi nombre, tampoco mis apellidos\nLa gente que me conoce, me apodan ""EL Aguilillo""\nPorque mato a las culebras, que cruzan por mi camino\n\nEl día, que yo me muera, que suenen las metralletas\nQue sepan que ha muerto el gallo, que cantaba donde quiera\nY en vez de que se oiga llanto, que se oiga la balacera', 'Hola!\nQue agradable sorpresa\nQue me cuentas?\nTe cuento que\n\nQue bonita te ves\nDespués de tanto tiempo sin\nMirarnos\n\nTu también te vez bien y\nDime como te la estas\nPasando\n\nNo me puedo quejar\nLa vida se ha portado bien\nConmigo\n\nY en amores?\n\nMuy mal\nPretendiendo lo nuestro olvidar\nMil bocas eh besado y no te\nOlvido\n\nSigues de mentiroso\n\nNo lo vas a creer\nEl ultimo ha sido mi ultimo\nCariño\nDesde que te deje\nNo habido nada serio en mi\nCamino\n\nFui un canalla lo se\nFalle y no valore lo que me\nDiste\nMe perdonas?\nDe que?\nYo te amaba pero te cobre\nDe una que otra trampa que me\nHiciste\n\nQue te parece\nSi olvidamos los agravios\nY nos vamos caminado\nComo dos buenos amigos\nAl viejo bar donde tu y yo nos\nConocimos\nY entre unos tragos recordamos\nAquel tiempo que vivimos\n\nNo es mala idea\nPero dos copas me marean\nY aunque hace mucho no nos\nVemos\nDe sobra sabes que me\nInquietas\n\nNo te preocupes\nQue no pienso emborracharte\nTratare de no besarte\nY mantendré mis manos\nQuietas\n\nMira el bar sigue igual\n\nAsí es romántico y\nNostálgico\n\nPero que linda que estas\nCual exquisita\nMadurando\n\nTu no estas nada mal\nPero seguro sigues\nParrandeando\n\nMe hace bien comprobar\nQue aun existe quimica en\nNosotros\n\nMe buscaste alguna vez?\n\nNo, jamás\n\nEl destino nos vuelve a juntar\nComo insistiendo el uno para el\nOtro\n\nQue te parece si enterramos el\nPasado\nEl futuro lo planeamos\nY vivimos el presente\nEste reencuentro que ni tu ni\nYo buscamos\nPuede ser ese milagro\nQue nos una para siempre\n\nSomos afines me conoces\nTe conozco\nYo estoy sola tu estas solo\nLa pasión sigue latente\n\nQue te parece si al salir del\nViejo bar\nNos tomamos de la mano\nY lo intentamos nuevamente']"
3,78,3_la_de_el_se,"['la', 'de', 'el', 'se', 'no', 'que', 'en', 'me', 'los', 'por']","['Nomas por ser sinaloense\nYo me siento afortunado\nPorque he nacido en la tierra\nDonde se dan los pesados\nQue viva mi sinaloa\nCuna de gallos jugados\n\nMe vine hace muchos años\nDel pueblo de sanalona\nYo trabaje como burro\nDe cocinero mi compa\nAhora muevo los kilos\nAl norte de california\n\nYo tengo mi propia gente\nPero muy bien entrenada\nA la hora de una caida\nSe que no cantan por nada\nEs que no saben la letra\nMucho menos la tonada\n\nMe dicen el sinaloense\nMi nombre no se lo saben\nMis documenos son falsos\nMas vale que no lo indaguen\nAquel que me identifique\nPuede que no se la acabe\n\nPueden pensar lo que quieran\nMe tienen muy sin cuidado\nLo que haga no les importe\nMiren queden callados\nNo olviden que por la boca\nEs como muere el pescado\n\nNi modo soy traficante\nSe que me busca el gobierno\nYa me canse de ser pobre\nY andar deseando lo ajeno\nMas vale un rato de gloria\nY no una vida de infierno', 'Nacio con sangre de jefe\nPor herencia de su padre\nSe sabe el teje y maneje\nDesde que estaba en pañales\nPoreso ahora vicente\nEs jefazo de los grandes\nLos hechos lo dicen todo\nAsi que aqui no ay detalles\nEs hijo del mz\nSu historia ya se la saben\nEs hombre que se respeta\nNomas con decir sus clavez\nSu madre le dio la vida\nSu padre le dio el poder\nSus hermanos el respeto\nY la protecion la ley\nEl tiempo le dio experencia\nLa vida una gran mujer\nSu gente le dio el apollo\nLo de mas es cosa de el\nArriba sinaloa primo...ua\nEs igualito a su padre\nSe siente muy orgulloso\nSe le hierbe mucho la sangre\nY anda en el negocio\nPor ay dicen los que saben\nEs igual de poderoso\nTray mucha gente a su mando\nArmados hasta los dientes\nHombres bien uniformados\nProtejen al sinaloanse\nSe llaman empecherados\nPistoleros de vicente\nPlebada no se me rajen\nAguanten la tempestad\nAy que salir adelante\nSon ordenes de mi apa\nAsi es que vamos adelante\nYa lo dijo el general\nYo soy vicente zambada\nY que viva culiacan', 'Nació con sangre de jefe\nPor herencia de su padre\nSe sabe el teje y maneje\nDesde que estaba en pañales\nPoroso ahora Vicente\nEs jefazo de los grandes\n\nLos hechos lo dicen todo\nAsí que aquí no ay detalles\nEs hijo del mi\nSu historia ya se la saben\nEs hombre que se respeta\nNomas con decir sus claves\n\nSu madre le dio la vida\nSu padre le dio el poder\nSus hermanos el respeto\nY la protección la ley\nEl tiempo le dio experiencia\nLa vida una gran mujer\nSu gente le dio el apoyo\nLo de más es cosa de el\nArriba sin alas primo\n\nEs igualito a su padre\nSe siente muy orgulloso\nSe le hierbe mucho la sangre\nY anda en el negocio\nPor ay dicen los que saben\nEs igual de poderoso\n\nTrae mucha gente a su mando\nArmados hasta los dientes\nHombres bien uniformados\nProtegen al sin alas\nSe llaman empelechados\nPistoleros de Vicente\n\nPlegada no se me rajen\nAguanten la tempestad\nAy que salir adelante\nSon ordenes de mi\nIsa es que vamos adelante\nYa lo dijo el general\nYo soy Vicente Zambada\nY que viva Culican']"
4,28,4_me_el_que_no,"['me', 'el', 'que', 'no', 'soy', 'los', 'de', 'se', 'mi', 'yo']","['Ábranse que llevo lumbre\nO se quitan o los quito\nYa saben que yo no juego\nTengo fama de maldito\nPor si no saben yo soy\nEl papa de los pollitos\n\nLa plaza me pertenece\nMientras viva yo decido\nY el que se meta se muere\nSi no se arregla conmigo\nYo no respeto a niveles\nMenos mi cuerno de chivo\n\nYa saben que soy el jefe\nY que conmigo no pueden\nMas vale que me respeten\nPorque son bravos mis plebes\nCon una clave se activan\nY eso si pecan de crueles\n\nSigo reclutando gente\nMi negocio lo a merita\nEl estado, Sinaloense\nEs el que mas participa\nJalisco y tierra caliente\nY merito Jerez Zacatecas\n\nTengo los nervios de acero\nEs herencia de familia\nA nada le tengo miedo\nMe crié al estilo Luis\nPor eso en que cualquier terreno\nMi cartel puro pa riba\n\nYa saben que soy el jefe\nY que no soy tan Jotito\nMas vale que me respeten\nPor que los traigo cortitos\nY les recuerdo que soy\nEl papa de los pollitos', '--A mí me gustan los corridos por que son los hechos reales de nuestro pueblo.\n--Sí, a mí también me gustan por que en ellos se canta la pura verdad.\n--Pos pónlos, pues.\n--Órale, ahí va.\n\nSoy el jefe de jefes, señores.\nMe respetan a todos niveles.\nY mi nombre y mi fotografia\nnunca van a mirar en papeles\nporque a mí el periodista me quiere,\ny, si no, mi amistad se la pierde.\n\nMuchos pollos que apenas nacieron\nya se quieren pelear con el gallo.\nSi pudieran estar a mi altura,\npues tendrían que pasar muchos años,\ny no pienso dejarles el puesto\ndonde yo me la paso ordenando.\n\nMi trabajo y valor me ha costado\nmanejar los contactos que tengo.\nMuchos quieren escalar mi altura;\nnomás miro que se van cayendo.\nHan querido arañar mi corona;\nlos que intentan se han ido muriendo.\n\nYo navego debajo de agua\ny tambien sé volar a la altura.\nMuchos creen que me busca el gobierno,\notros dicen que es pura mentira.\nDesde arriba nomás me divierto\npues me gusta que así se confundan.\n\nEn la cuentas se lleva una regla:\ndesde el 1 llegar hasta el 100.\nEl que quiera ser hombre derecho,\nque se enseñe a mirar su nivel.\nSin talento no busques grandeza\nporque nunca la vas a tener.\n\nSoy el jefe de jefes señores,\ny decirlo no es por presuncion.\nMuchos grandes me piden favores\nporque saben que soy el mejor.\nHan buscado la sombra del arbol\npara que no les dé duro el sol.', 'A mi me gustan los corridos porque son los hechos reales de nuestro pueblo\nSi a mi también me gustan porque en ellos se canta la pura verdad\nPues ponlos, pues\nÓrale, ahí va\n\nSoy el jefe de jefes, señores, me respetan a todos niveles\nY mi nombre y mi fotografía nunca van a mirar en papeles\nPorque a mi el periodista me quiere, y si no, mi amistad se la pierde\nMuchos pollos que apenas nacieron, ya se quieren pelear con el gallo\nSi pudieran estar a mi altura, pues tendrían que pasar muchos años\nY no pienso dejarles el puesto donde yo me la paso ordenando\nMi trabajo y valor me ha costado manejar los contactos que tengo\nMuchos quieren escalar mi altura, nomás miro que se van cayendo\nHan querido arañar mi corona, los que intentan se han ido muriendo\n\nYo navego debajo de agua y también sé volar a la altura\nMuchos creen que me busca el gobierno, otros dicen que es pura mentira\nDesde arriba nomás me divierto, pues me gusta que así se confundan\nEn la cuentas se lleva una regla, desde el uno llegar hasta el cien\nEl que quiera sera hombre derecho, que se enseñe a mirar su nivel\nSin talento no busques grandeza porque nunca la vas a tener\nSoy el Jefe de Jefes, señores, y decirlo no es por presunción\nMuchos grandes me piden favores porque saben que soy el mejor\nHan buscado la sombra del árbol para que no les dé duro el sol']"
5,11,5_me_que_soy_uh,"['me', 'que', 'soy', 'uh', 'la', 'de', 'gusta', 'alegre', 'mi', 'vida']","['Soy amante de lo bueno\nSoy alegre así nací\n\nSoy amante de lo bueno\nSoy alegre así nací\nNi se diga parrandero\nAsí vivo muy feliz\nMe complasco cuando quiero\nYa que más puedo pedir\n\nEl dinero no me falta\nLe doy gracias a mi dios\nEl trabajo no me espanta\nSoy un hombre de jalón\nTengo amores en mi casa\nY a donde quiera que voy\n\nQue traigan cerveza\nQue traigan más vino\nQue sigan tucanes\nTocando corridos\nQue traigan de todo\nYo imbito mi jente\nQue para eso traigo\nMis billetes verdes\n\n""Claro que si compa\nY ahí les va un saludo\nPa todos lo amantes de lo bueno""\n\nSoy amante de lo bueno\nSoy bohemio de verdad\nNi se diga mujeriego\nSoy un toro cemental\nHago siempre lo que quiero\nAsí me enseñó mi apa\n\nNo disfruto de la vida\nSoy de puro corazón\nMe divierto noche y día\nCon razón o sin razón\nSiempre con mi palomilla\nPor donde quiera que voy\n\nQue traigan cerveza\nQue traigan más vino\nQue sigan tucanes\nTocando corridos\nQue traigan de todo\nYo imbito mi jente\nQue para eso traigo\nMis billetes verdes\n\n(Gracias a Juan por esta letra)', ""Vivo feliz en el mundo, me gusta ser parrandero\nTu-Tucanes\n\nVivo feliz en el mundo, me gusta ser parrandero\nSoy de puro Sinaloa, pero cruzo al extranjero\nMe gusta gozar la vida, no sufro por el dinero\nEsta noche se me antoja para ponerme a tomar\nMañana no sé si pueda, yo no puedo adivinar\nTomando vino y cerveza, nunca se siente uno mal\n\nTóquenme Clave Privada, luego Alegre y Mujeriego\nCon Los Tucanes tocando, me amanezco días enteros\nY La Banda del Recodo me tocan donde yo quiero\n\nAlegre y enamorado siempre me ha gustado ser\nPara mí lo más bonito es el vino y la mujer\nLa música de tambora y la norteña también\nEl dinero que yo gano pa' divertirme lo quiero\nTal vez mañana o pasado de un de repente me muero\nSi no es pa' gozar la vida, ¿pa' qué chihuahuas lo quiero?\n\nTóquenme Clave Privada, luego Alegre y Mujeriego\nCon Los Tucanes tocando, me amanezco días enteros\nY La Banda del Recodo me tocan donde yo quiero"", ""Vivo feliz en el mundo, me gusta ser parrandero\nTu-Tucanes\n\nVivo feliz en el mundo, me gusta ser parrandero\nSoy de puro Sinaloa, pero cruzo al extranjero\nMe gusta gozar la vida, no sufro por el dinero\nEsta noche se me antoja para ponerme a tomar\nMañana no sé si pueda, yo no puedo adivinar\nTomando vino y cerveza, nunca se siente uno mal\n\nTóquenme Clave Privada, luego Alegre y Mujeriego\nCon Los Tucanes tocando, me amanezco días enteros\nY La Banda del Recodo me tocan donde yo quiero\n\nAlegre y enamorado siempre me ha gustado ser\nPara mí lo más bonito es el vino y la mujer\nLa música de tambora y la norteña también\nEl dinero que yo gano pa' divertirme lo quiero\nTal vez mañana o pasado de un de repente me muero\nSi no es pa' gozar la vida, ¿pa' qué chihuahuas lo quiero?\n\nTóquenme Clave Privada, luego Alegre y Mujeriego\nCon Los Tucanes tocando, me amanezco días enteros\nY La Banda del Recodo me tocan donde yo quiero""]"
